,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
93391,Punjab Circle,Punjab West Region,Hoshiarpur Division,Kakkon BO,144208,BO,Delivery,HOSHIARPUR,PUNJAB,30.25,74.13
93392,Punjab Circle,Punjab West Region,Hoshiarpur Division,Alampur BO,144202,BO,Delivery,HOSHIARPUR,PUNJAB,31.12,74.63
93393,Punjab Circle,Punjab West Region,Hoshiarpur Division,Bains Awan BO,144202,BO,Delivery,HOSHIARPUR,PUNJAB,31.42,74.45
93394,Punjab Circle,Punjab West Region,Hoshiarpur Division,Sango Katrala BO,144211,BO,Delivery,HOSHIARPUR,PUNJAB,31.5143178,75.911483
93395,Punjab Circle,Punjab West Region,Hoshiarpur Division,Mundian Jattan BO,146114,BO,Delivery,HOSHIARPUR,PUNJAB,31.45,75.42
93396,Punjab Circle,Punjab West Region,Hoshiarpur Division,Begumpur Jandiala BO,146115,BO,Delivery,HOSHIARPUR,PUNJAB,31.25,74.89
93397,Punjab Circle,Punjab West Region,Hoshiarpur Division,Kalubahar BO,146115,BO,Delivery,HOSHIARPUR,PUNJAB,31.25,75.89
93398,Punjab Circle,Punjab West Region,Hoshiarpur Division,Umarpur BO,144214,BO,Delivery,HOSHIARPUR,PUNJAB,31.15,75.12
93399,Punjab Circle,Punjab West Region,Hoshiarpur Division,Manak Dheri BO,144204,BO,Delivery,HOSHIARPUR,PUNJAB,31.72,75.63
93400,Punjab Circle,Punjab West Region,Hoshiarpur Division,Saidpur BO,144204,BO,Delivery,HOSHIARPUR,PUNJAB,31.45,75.75
93401,Punjab Circle,Punjab West Region,Hoshiarpur Division,Munak Kalan BO,144204,BO,Delivery,HOSHIARPUR,PUNJAB,31.42,75.42
93402,Punjab Circle,Punjab West Region,Hoshiarpur Division,Chagran BO,146023,BO,Delivery,HOSHIARPUR,PUNJAB,31.25,75.52
93403,Punjab Circle,Punjab West Region,Hoshiarpur Division,Nangal Shahidan BO,146023,BO,Delivery,HOSHIARPUR,PUNJAB,31.24,74.63
93404,Punjab Circle,Punjab West Region,Hoshiarpur Division,Sarangwal BO,146102,BO,Delivery,HOSHIARPUR,PUNJAB,31.42,75.84
93405,Punjab Circle,Punjab West Region,Hoshiarpur Division,Bhilowal BO,146104,BO,Delivery,HOSHIARPUR,PUNJAB,31.12,75.84
93406,Punjab Circle,Punjab West Region,Hoshiarpur Division,Bohan BO,146104,BO,Delivery,HOSHIARPUR,PUNJAB,31.42,75.86
93407,Punjab Circle,Punjab West Region,Hoshiarpur Division,Jallowal Khanoor BO,146104,BO,Delivery,HOSHIARPUR,PUNJAB,31.42,75.84
93408,Punjab Circle,Punjab West Region,Hoshiarpur Division,Lehli Kalan BO,146104,BO,Delivery,HOSHIARPUR,PUNJAB,31.02,75.46
93409,Punjab Circle,Punjab West Region,Hoshiarpur Division,Nainwan BO,144523,BO,Delivery,HOSHIARPUR,PUNJAB,31.46,75.45
93410,Punjab Circle,Punjab West Region,Hoshiarpur Division,Thowana BO,144520,BO,Delivery,HOSHIARPUR,PUNJAB,30.04,74.56
93411,Punjab Circle,Punjab West Region,Hoshiarpur Division,Chohal BO,146024,BO,Delivery,HOSHIARPUR,PUNJAB,31.84,74.13
93848,Punjab Circle,DivReportingCircle,Chandigarh Division,Rel B.O,144533,BO,Non Delivery,Shahid Bhagat Singh Nagar,PUNJAB,,
94305,Punjab Circle,Punjab West Region,Gurdaspur Division,Bharial BO,143525,BO,Delivery,GURDASPUR,PUNJAB,32.2,75.33
94306,Punjab Circle,Punjab West Region,Gurdaspur Division,Hayat Nagar BO,143520,BO,Delivery,GURDASPUR,PUNJAB,32.04,75.36
94591,Punjab Circle,Punjab West Region,Gurdaspur Division,Khojepur BO,143530,BO,Delivery,GURDASPUR,PUNJAB,32.07,75.45
94640,Punjab Circle,Punjab West Region,Gurdaspur Division,Dabhanwala Kalan BO,143507,BO,Delivery,GURDASPUR,PUNJAB,31.84,75.14
94677,Punjab Circle,Punjab West Region,Hoshiarpur Division,Mehngarwal BO,146024,BO,Delivery,HOSHIARPUR,PUNJAB,31.63,75.46
94678,Punjab Circle,Punjab West Region,Hoshiarpur Division,Degham BO,144527,BO,Delivery,HOSHIARPUR,PUNJAB,31.25,75.41
94679,Punjab Circle,Punjab West Region,Hoshiarpur Division,Garhi Matton BO,144527,BO,Delivery,HOSHIARPUR,PUNJAB,30.84,74.51
94680,Punjab Circle,Punjab West Region,Hoshiarpur Division,Gogon BO,144527,BO,Delivery,HOSHIARPUR,PUNJAB,31.25,74.96
94681,Punjab Circle,Punjab West Region,Hoshiarpur Division,Khanpur BO,144527,BO,Delivery,HOSHIARPUR,PUNJAB,31.25,74.89
94688,Punjab Circle,DivReportingCircle,Patiala Division,Arno BO,147105,BO,Delivery,PATIALA,PUNJAB,29.85,76.21
94689,Punjab Circle,DivReportingCircle,Patiala Division,Duggal BO,147105,BO,Delivery,PATIALA,PUNJAB,29.98,76.03
94690,Punjab Circle,DivReportingCircle,Patiala Division,Shutrana BO,147105,BO,Delivery,PATIALA,PUNJAB,29.9,76.11
94691,Punjab Circle,DivReportingCircle,Patiala Division,Kularan BO,147101,BO,Delivery,PATIALA,PUNJAB,30.13,76.11
94692,Punjab Circle,DivReportingCircle,Patiala Division,Ramgarh BO,140601,BO,Delivery,PATIALA,PUNJAB,30.64,76.88
94693,Punjab Circle,DivReportingCircle,Patiala Division,Lachru Kalan BO,140702,BO,Delivery,PATIALA,PUNJAB,30.15,76.63
94694,Punjab Circle,DivReportingCircle,Patiala Division,Marru BO,140702,BO,Delivery,PATIALA,PUNJAB,30.34,76.43
94695,Punjab Circle,DivReportingCircle,Patiala Division,Sarala Kalan BO,140702,BO,Delivery,PATIALA,PUNJAB,30.3,76.64
94696,Punjab Circle,DivReportingCircle,Patiala Division,Lohsimbly BO,140702,BO,Delivery,PATIALA,PUNJAB,30.36,76.36
94697,Punjab Circle,Punjab West Region,Hoshiarpur Division,Amroh BO,144224,BO,Delivery,HOSHIARPUR,PUNJAB,28.9,78.46
94698,Punjab Circle,Punjab West Region,Hoshiarpur Division,Bhater BO,144224,BO,Delivery,HOSHIARPUR,PUNJAB,23.41,87.91
94699,Punjab Circle,Punjab West Region,Hoshiarpur Division,Bhavnaur BO,144224,BO,Delivery,HOSHIARPUR,PUNJAB,31.56,72.64
94700,Punjab Circle,Punjab West Region,Hoshiarpur Division,Manhota BO,144213,BO,Delivery,HOSHIARPUR,PUNJAB,31.8,75.81
94701,Punjab Circle,Punjab West Region,Hoshiarpur Division,Sansarpur BO,144213,BO,Delivery,HOSHIARPUR,PUNJAB,31.77,75.85
94702,Punjab Circle,Punjab West Region,Ferozpur Division,Hazara Singh Wala BO,152023,BO,Delivery,FIROZEPUR,PUNJAB,30.84315,74.39662
94703,Punjab Circle,Punjab West Region,Ferozpur Division,Khunder Uttar BO,152023,BO,Delivery,FIROZEPUR,PUNJAB,30.8285864,74.3994182
94704,Punjab Circle,Punjab West Region,Ferozpur Division,Awan BO,152028,BO,Delivery,FIROZEPUR,PUNJAB,30.79,74.37
94705,Punjab Circle,Punjab West Region,Ferozpur Division,Mansoor Deva BO,152028,BO,Delivery,FIROZEPUR,PUNJAB,30.50978,74.3699
94706,Punjab Circle,Punjab West Region,Ferozpur Division,Chak Janisar BO,152033,BO,Delivery,FAZILKA,PUNJAB,30.97996,74.6816
94707,Punjab Circle,Punjab West Region,Ferozpur Division,Khuranj BO,152033,BO,Delivery,FAZILKA,PUNJAB,30.4598942,74.2876132
94764,Punjab Circle,Punjab West Region,Ferozpur Division,Dhigan Wali BO,152132,BO,Delivery,FAZILKA,PUNJAB,30.04488,73.98143
94765,Punjab Circle,Punjab West Region,Ferozpur Division,Gumjal BO,152132,BO,Delivery,FAZILKA,PUNJAB,30.9265586,74.6135181
94766,Punjab Circle,Punjab West Region,Ferozpur Division,Tootwala BO,152132,BO,Delivery,FAZILKA,PUNJAB,30.04488,73.98143
94767,Punjab Circle,Punjab West Region,Ferozpur Division,Kabbar Wacha BO,142060,BO,Delivery,FIROZEPUR,PUNJAB,30.78484,74.8603
94768,Punjab Circle,Punjab West Region,Ferozpur Division,Bazidpur Kattianwali BO,152122,BO,Delivery,FAZILKA,PUNJAB,30.2451,74.12985
94769,Punjab Circle,Punjab West Region,Ferozpur Division,Danger Khera BO,152122,BO,Delivery,FAZILKA,PUNJAB,30.2451,74.12985
